Ref,Val,Package,PosX,PosY,Rot,Side
"U1","MS4344","SOP50P490X110-10N",-17.145000,-30.099000,0.000000,bottom
"U2","74LVC1G125","SOT-353_SC-70-5",-26.485800,-9.189720,90.000000,bottom
"U3","RP2040","QFN40P700X700X90-57N",2.656780,-16.885780,0.000000,bottom
"U4","D2822M","SOP-8_3.9x4.9mm_P1.27mm",-30.988000,-32.207200,90.000000,bottom
"U5","ICE40UP5K-SG48ITR","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",-35.241040,0.153440,180.000000,bottom
"U6","ESP-PSRAM64H","SOIC-8_3.9x4.9mm_P1.27mm",-37.500000,-11.000000,90.000000,bottom
"U7","ESP32-WROVER","ESP32-WROVER",17.878920,8.765000,180.000000,bottom
"U8","BNO055","LGA-28_5.2x3.8mm_BNO0055",0.000000,0.000000,0.000000,bottom
"U10","74LVC1G125","SOT-353_SC-70-5",38.066980,22.479000,-90.000000,bottom
"U11","SY8079AAC","SOT-23-5",-5.247980,16.590100,0.000000,bottom
"U12","SY8079AAC","SOT-23-5",-27.707200,-16.905360,-90.000000,bottom
"U13","XT4054K421MR-G","SOT-23-5",16.050000,-40.420000,0.000000,bottom
"U14","SY6280AAC","SOT-23-5",18.640000,-36.310000,-90.000000,bottom
"U15","SY6280AAC","SOT-23-5",32.846860,14.161800,90.000000,bottom
"U16","SY6280AAC","SOT-23-5",41.731900,19.141560,180.000000,bottom
"U17","W25Q16JVUXIQ","PSON50P300X200X60-9N",5.334000,-23.876000,-90.000000,bottom
"X2","SG-210STF","Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm",-38.547040,10.934700,-90.000000,bottom
"Y2","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",2.020000,-8.830000,0.000000,bottom
"Y3","32kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",0.980000,-3.700640,0.000000,bottom
